Id Site Client,#Id Client,Coordonnées GPS,Type housing,Adresse Site Client,Ville,ZI,Parenté,Classification,Niv Accessibilité,Contact Site client
SC-00023,CLI-0014,"29.118428, -3.525734",Usine,"60, Avenue Al Qods",Tanger,ZI Sidi Bernoussi,Siège principal,Standard,Difficile,Mehdi Amrani - +212 665768394
SC-00024,CLI-0015,"32.103783, -10.332049",Immeuble,"200, Avenue Al Qods",Casablanca,Atlantic Free Zone,Succursale,Critique,Accès réglementé,Mehdi Tazi - +212 686874084
SC-00025,CLI-0015,"35.16917, -11.431465",Entrepôt,"135, Avenue Anfa",Casablanca,Agropole,Agence,Standard,Facile,Mehdi Fassi - +212 631512362
SC-00026,CLI-0016,"31.056901, -3.441378",Immeuble,"65, Avenue Mohammed VI",Agadir,Technopark,Site technique,Prioritaire,Difficile,Mehdi Fassi - +212 626009800
SC-00027,CLI-0017,"28.487243, -7.977638",Entrepôt,"74, Avenue Hassan II",Agadir,Centre-ville,Site technique,Prioritaire,Difficile,Karim Amrani - +212 622110074
SC-00028,CLI-0018,"35.315723, -7.8541",Immeuble,"148, Avenue Hassan II",Meknès,Casa Nearshore,Siège principal,Standard,Accès réglementé,Mehdi Tazi - +212 634417911
SC-00029,CLI-0018,"32.298354, -3.688636",Entrepôt,"141, Avenue Al Qods",Meknès,Centre-ville,Succursale,Critique,Facile,Salma Berrada - +212 604656575
SC-00030,CLI-0019,"29.54364, -5.028725",Bureau,"8, Avenue Mohammed VI",Meknès,ZI Sidi Bernoussi,Succursale,Standard,Facile,Hind Tazi - +212 639693788
SC-00031,CLI-0019,"30.075779, -11.032722",Datacenter,"250, Avenue Mohammed VI",Rabat,Casa Nearshore,Agence,Critique,Accès réglementé,Hind Fassi - +212 665247837
SC-00032,CLI-0019,"33.960496, -11.286117",Usine,"103, Avenue Hassan II",Casablanca,Tanger Free Zone,Filiale,Prioritaire,Difficile,Karim Fassi - +212 623478435
SC-00033,CLI-0020,"27.857955, -8.308347",Villa,"149, Avenue Mohammed VI",Meknès,Tanger Free Zone,Filiale,Prioritaire,Facile,Mehdi Amrani - +212 669576013
SC-00034,CLI-0021,"28.240388, -6.966146",Centre commercial,"8, Avenue Anfa",Tanger,Centre-ville,Agence,Standard,Moyenne,Mehdi Fassi - +212 696718732
SC-00035,CLI-0022,"32.194379, -12.614763",Usine,"92, Avenue Hassan II",Tanger,Technopark,Succursale,Critique,Difficile,Salma Tazi - +212 604499105
SC-00036,CLI-0023,"31.387934, -5.618474",Villa,"127, Avenue Anfa",Tanger,Atlantic Free Zone,Siège principal,Prioritaire,Accès réglementé,Karim Fassi - +212 651823570
SC-00037,CLI-0023,"28.345111, -11.105014",Entrepôt,"57, Avenue Mohammed VI",Marrakech,Centre-ville,Agence,Prioritaire,Difficile,Karim Tazi - +212 679620312
SC-00038,CLI-0024,"35.367527, -4.408155",Usine,"110, Avenue Mohammed VI",Marrakech,Tanger Free Zone,Agence,Prioritaire,Difficile,Salma Fassi - +212 670144693
SC-00039,CLI-0025,"35.671603, -12.817108",Centre commercial,"200, Avenue Mohammed VI",Casablanca,Atlantic Free Zone,Filiale,Critique,Moyenne,Salma Berrada - +212 685424419
SC-00040,CLI-0026,"29.858458, -12.680642",Immeuble,"94, Avenue Anfa",Casablanca,Centre-ville,Succursale,Standard,Facile,Mehdi Fassi - +212 694071312
SC-00041,CLI-0026,"35.049602, -5.699636",Usine,"228, Avenue Anfa",Casablanca,ZI Sidi Bernoussi,Succursale,Critique,Moyenne,Salma Tazi - +212 606885608
SC-00042,CLI-0027,"29.231271, -5.783129",Bureau,"160, Avenue Mohammed VI",Tanger,ZI Ain Sebaa,Succursale,Standard,Facile,Mehdi Amrani - +212 664159959
SC-00043,CLI-0027,"32.163017, -3.419553",Bureau,"114, Avenue Mohammed VI",Kénitra,Agropole,Succursale,Prioritaire,Accès réglementé,Salma Amrani - +212 651960518
SC-00044,CLI-0028,"33.661121, -8.077799",Bureau,"110, Avenue Mohammed VI",Agadir,ZI Sidi Bernoussi,Site technique,Prioritaire,Moyenne,Hind Amrani - +212 648011944
SC-00045,CLI-0028,"30.976455, -1.381524",Entrepôt,"216, Avenue Hassan II",Fès,Agropole,Succursale,Prioritaire,Accès réglementé,Hind Amrani - +212 623868123
SC-00046,CLI-0028,"35.509738, -7.231567",Villa,"123, Avenue Hassan II",Agadir,Tanger Free Zone,Siège principal,Critique,Accès réglementé,Hind Tazi - +212 676667049
SC-00047,CLI-0029,"31.479334, -5.94896",Bureau,"95, Avenue Mohammed VI",Fès,Tanger Free Zone,Filiale,Critique,Facile,Mehdi Fassi - +212 653556130
SC-00048,CLI-0030,"35.550178, -2.940763",Datacenter,"199, Avenue Anfa",Agadir,ZI Sidi Bernoussi,Filiale,Prioritaire,Accès réglementé,Mehdi Berrada - +212 672396953
SC-00049,CLI-0031,"34.870782, -11.717509",Immeuble,"218, Avenue Hassan II",Rabat,ZI Ain Sebaa,Agence,Prioritaire,Difficile,Karim Berrada - +212 621998110
SC-00050,CLI-0032,"27.245461, -11.62654",Villa,"238, Avenue Al Qods",Kénitra,Technopark,Site technique,Critique,Moyenne,Salma Fassi - +212 694507543
SC-00051,CLI-0032,"32.397277, -7.648158",Datacenter,"121, Avenue Hassan II",Casablanca,Atlantic Free Zone,Succursale,Critique,Difficile,Hind Fassi - +212 621036186
SC-00052,CLI-0033,"34.981407, -1.059583",Villa,"230, Avenue Al Qods",Kénitra,Atlantic Free Zone,Siège principal,Critique,Difficile,Mehdi Amrani - +212 629912166
SC-00053,CLI-0033,"27.060801, -8.601462",Bureau,"112, Avenue Hassan II",Marrakech,Technopark,Succursale,Prioritaire,Accès réglementé,Salma Amrani - +212 668816253
SC-00054,CLI-0034,"29.884188, -12.480845",Bureau,"184, Avenue Hassan II",Meknès,Centre-ville,Agence,Prioritaire,Accès réglementé,Salma Fassi - +212 662406293
SC-00055,CLI-0035,"29.429658, -7.870875",Usine,"174, Avenue Al Qods",Marrakech,Technopark,Agence,Prioritaire,Difficile,Mehdi Berrada - +212 647351051
SC-00056,CLI-0035,"28.211801, -11.586566",Entrepôt,"18, Avenue Anfa",Meknès,ZI Ain Sebaa,Agence,Standard,Difficile,Karim Fassi - +212 600492593
SC-00057,CLI-0036,"29.090927, -11.717509",Centre commercial,"122, Avenue Mohammed VI",Marrakech,Atlantic Free Zone,Succursale,Critique,Difficile,Karim Tazi - +212 620206915
SC-00058,CLI-0037,"30.724464, -3.644407",Entrepôt,"204, Avenue Hassan II",Casablanca,Agropole,Filiale,Prioritaire,Moyenne,Salma Berrada - +212 667376213
SC-00059,CLI-0037,"34.412356, -1.268414",Usine,"114, Avenue Anfa",Casablanca,ZI Ain Sebaa,Site technique,Prioritaire,Moyenne,Karim Tazi - +212 612192364
SC-00060,CLI-0038,"30.315096, -2.446549",Datacenter,"219, Avenue Hassan II",Agadir,Casa Nearshore,Siège principal,Critique,Difficile,Salma Tazi - +212 647106206
SC-00061,CLI-0039,"35.41206, -4.318781",Entrepôt,"185, Avenue Hassan II",Kénitra,Centre-ville,Siège principal,Prioritaire,Difficile,Salma Tazi - +212 668105055
SC-00062,CLI-0039,"28.857021, -8.991493",Usine,"30, Avenue Hassan II",Kénitra,ZI Ain Sebaa,Agence,Critique,Facile,Salma Tazi - +212 607832012
SC-00063,CLI-0040,"27.252413, -12.408605",Entrepôt,"112, Avenue Al Qods",Fès,Agropole,Site technique,Critique,Accès réglementé,Mehdi Fassi - +212 633923839
SC-00064,CLI-0040,"32.042851, -6.489648",Centre commercial,"101, Avenue Mohammed VI",Casablanca,Atlantic Free Zone,Filiale,Critique,Difficile,Karim Fassi - +212 678747665
SC-00065,CLI-0041,"31.780438, -10.60907",Usine,"108, Avenue Anfa",Tanger,Centre-ville,Agence,Prioritaire,Difficile,Salma Amrani - +212 628943091
SC-00066,CLI-0041,"33.038409, -12.36701",Immeuble,"5, Avenue Mohammed VI",Marrakech,Technopark,Site technique,Standard,Facile,Hind Fassi - +212 646779591
SC-00067,CLI-0042,"29.77002, -4.28498",Bureau,"38, Avenue Mohammed VI",Rabat,ZI Sidi Bernoussi,Succursale,Standard,Accès réglementé,Mehdi Fassi - +212 646614973
SC-00068,CLI-0042,"32.697484, -3.3928",Usine,"138, Avenue Mohammed VI",Meknès,Agropole,Filiale,Standard,Facile,Hind Tazi - +212 635622192
SC-00069,CLI-0042,"35.17424, -12.583101",Datacenter,"232, Avenue Anfa",Kénitra,Agropole,Succursale,Prioritaire,Difficile,Salma Tazi - +212 631719427
SC-00070,CLI-0043,"27.391174, -12.327056",Usine,"164, Avenue Hassan II",Rabat,Casa Nearshore,Filiale,Standard,Facile,Hind Berrada - +212 651974206
SC-00071,CLI-0044,"34.963355, -7.955177",Datacenter,"193, Avenue Anfa",Rabat,Atlantic Free Zone,Succursale,Standard,Accès réglementé,Mehdi Fassi - +212 664138872
SC-00072,CLI-0045,"32.832043, -4.573443",Entrepôt,"76, Avenue Anfa",Fès,ZI Sidi Bernoussi,Site technique,Standard,Accès réglementé,Mehdi Amrani - +212 671655933
SC-00073,CLI-0045,"35.143852, -6.419137",Datacenter,"38, Avenue Al Qods",Agadir,Casa Nearshore,Site technique,Prioritaire,Moyenne,Mehdi Fassi - +212 697537198
SC-00074,CLI-0046,"28.640368, -12.298054",Centre commercial,"72, Avenue Anfa",Agadir,Casa Nearshore,Succursale,Critique,Difficile,Mehdi Fassi - +212 672445161
SC-00075,CLI-0046,"32.025293, -8.655295",Usine,"223, Avenue Anfa",Kénitra,ZI Sidi Bernoussi,Filiale,Standard,Moyenne,Karim Tazi - +212 647116516
SC-00076,CLI-0047,"29.255267, -7.252624",Datacenter,"148, Avenue Anfa",Meknès,Tanger Free Zone,Filiale,Standard,Accès réglementé,Mehdi Berrada - +212 609028586
SC-00077,CLI-0047,"30.745772, -3.257478",Usine,"57, Avenue Hassan II",Kénitra,Atlantic Free Zone,Agence,Critique,Accès réglementé,Hind Tazi - +212 655348711
SC-00078,CLI-0048,"28.291173, -7.873731",Datacenter,"83, Avenue Al Qods",Agadir,ZI Sidi Bernoussi,Filiale,Standard,Difficile,Hind Tazi - +212 602614720
SC-00079,CLI-0048,"31.039811, -10.42459",Immeuble,"8, Avenue Mohammed VI",Casablanca,Casa Nearshore,Filiale,Critique,Difficile,Karim Berrada - +212 698061987
SC-00080,CLI-0049,"35.371854, -3.666547",Immeuble,"152, Avenue Al Qods",Tanger,ZI Ain Sebaa,Site technique,Prioritaire,Facile,Mehdi Amrani - +212 617048765
SC-00081,CLI-0050,"35.209452, -10.759445",Bureau,"185, Avenue Hassan II",Marrakech,Centre-ville,Site technique,Standard,Accès réglementé,Mehdi Berrada - +212 612882547
SC-00082,CLI-0050,"32.867802, -7.30396",Usine,"157, Avenue Mohammed VI",Kénitra,Technopark,Succursale,Prioritaire,Difficile,Karim Berrada - +212 666415931
SC-00083,CLI-0050,"27.194449, -2.765212",Immeuble,"249, Avenue Hassan II",Kénitra,Tanger Free Zone,Site technique,Critique,Accès réglementé,Salma Fassi - +212 675176740
SC-00084,CLI-0051,"29.148141, -8.50258",Datacenter,"65, Avenue Anfa",Tanger,ZI Sidi Bernoussi,Filiale,Critique,Moyenne,Mehdi Fassi - +212 655536371
SC-00085,CLI-0051,"33.133176, -8.602493",Usine,"178, Avenue Al Qods",Casablanca,Atlantic Free Zone,Site technique,Standard,Facile,Mehdi Amrani - +212 652106225
SC-00086,CLI-0051,"30.304828, -3.77087",Entrepôt,"118, Avenue Hassan II",Agadir,Casa Nearshore,Filiale,Prioritaire,Difficile,Salma Amrani - +212 662460280
SC-00087,CLI-0052,"34.20158, -4.147465",Datacenter,"247, Avenue Anfa",Fès,ZI Ain Sebaa,Filiale,Prioritaire,Facile,Karim Tazi - +212 634866873
SC-00088,CLI-0053,"27.423702, -3.116571",Bureau,"165, Avenue Anfa",Casablanca,Centre-ville,Siège principal,Standard,Difficile,Hind Amrani - +212 614661007
SC-00089,CLI-0054,"31.586339, -10.201966",Bureau,"88, Avenue Al Qods",Tanger,Tanger Free Zone,Succursale,Prioritaire,Difficile,Mehdi Tazi - +212 603992070
SC-00090,CLI-0054,"34.962334, -6.950704",Centre commercial,"210, Avenue Mohammed VI",Tanger,Atlantic Free Zone,Site technique,Standard,Difficile,Hind Amrani - +212 625005635
SC-00091,CLI-0055,"34.246681, -8.403917",Centre commercial,"192, Avenue Mohammed VI",Rabat,Technopark,Siège principal,Standard,Difficile,Mehdi Amrani - +212 677660485
SC-00092,CLI-0055,"30.000572, -5.894021",Centre commercial,"133, Avenue Al Qods",Kénitra,ZI Sidi Bernoussi,Succursale,Prioritaire,Moyenne,Hind Amrani - +212 613319037
SC-00093,CLI-0055,"30.518947, -5.21561",Centre commercial,"92, Avenue Mohammed VI",Meknès,Centre-ville,Succursale,Standard,Accès réglementé,Hind Berrada - +212 690530952
SC-00094,CLI-0056,"35.608432, -8.216703",Immeuble,"193, Avenue Hassan II",Rabat,ZI Sidi Bernoussi,Siège principal,Prioritaire,Facile,Salma Amrani - +212 652232750
SC-00095,CLI-0056,"27.491265, -1.661939",Villa,"58, Avenue Mohammed VI",Rabat,Casa Nearshore,Agence,Critique,Difficile,Karim Amrani - +212 685045928
SC-00096,CLI-0057,"33.992944, -10.991432",Bureau,"194, Avenue Mohammed VI",Casablanca,Centre-ville,Filiale,Critique,Moyenne,Salma Berrada - +212 671049380
SC-00097,CLI-0058,"35.223373, -10.04212",Bureau,"125, Avenue Mohammed VI",Fès,Agropole,Succursale,Prioritaire,Facile,Mehdi Amrani - +212 615131563
SC-00098,CLI-0059,"31.082982, -1.505967",Villa,"167, Avenue Hassan II",Rabat,Casa Nearshore,Agence,Prioritaire,Moyenne,Mehdi Tazi - +212 644632619
SC-00099,CLI-0060,"28.144527, -3.962694",Usine,"233, Avenue Anfa",Marrakech,Casa Nearshore,Agence,Standard,Moyenne,Karim Tazi - +212 622616797
SC-00100,CLI-0060,"32.101859, -6.737541",Centre commercial,"185, Avenue Mohammed VI",Agadir,Technopark,Siège principal,Prioritaire,Facile,Mehdi Tazi - +212 644257346
SC-00101,CLI-0061,"29.71687, -11.88835",Centre commercial,"184, Avenue Anfa",Tanger,Casa Nearshore,Siège principal,Prioritaire,Accès réglementé,Salma Tazi - +212 643768530
SC-00102,CLI-0062,"32.016377, -3.87294",Centre commercial,"152, Avenue Al Qods",Kénitra,ZI Sidi Bernoussi,Agence,Critique,Accès réglementé,Mehdi Fassi - +212 623967450
SC-00103,CLI-0062,"29.981022, -12.952349",Bureau,"117, Avenue Mohammed VI",Agadir,Technopark,Site technique,Standard,Accès réglementé,Hind Amrani - +212 617783182
SC-00104,CLI-0063,"28.283874, -2.707657",Datacenter,"80, Avenue Al Qods",Kénitra,Atlantic Free Zone,Agence,Critique,Facile,Karim Amrani - +212 600714117
SC-00105,CLI-0064,"29.250484, -7.182634",Datacenter,"17, Avenue Anfa",Kénitra,Atlantic Free Zone,Siège principal,Prioritaire,Moyenne,Hind Berrada - +212 694267297
SC-00106,CLI-0064,"29.918138, -5.90585",Entrepôt,"81, Avenue Hassan II",Kénitra,Technopark,Site technique,Prioritaire,Difficile,Karim Fassi - +212 628105941
SC-00107,CLI-0065,"33.675109, -11.858327",Usine,"53, Avenue Al Qods",Rabat,Atlantic Free Zone,Site technique,Critique,Difficile,Karim Amrani - +212 648451869
SC-00108,CLI-0065,"35.472582, -2.207886",Datacenter,"240, Avenue Hassan II",Meknès,Agropole,Siège principal,Prioritaire,Accès réglementé,Salma Fassi - +212 651096412
SC-00109,CLI-0066,"27.038227, -11.906842",Entrepôt,"162, Avenue Anfa",Kénitra,ZI Sidi Bernoussi,Site technique,Standard,Facile,Hind Fassi - +212 619323308
SC-00110,CLI-0066,"32.312009, -5.967899",Centre commercial,"148, Avenue Anfa",Tanger,Centre-ville,Site technique,Critique,Difficile,Hind Fassi - +212 632256972
SC-00111,CLI-0067,"29.157131, -4.248002",Bureau,"209, Avenue Hassan II",Agadir,ZI Sidi Bernoussi,Site technique,Standard,Moyenne,Karim Fassi - +212 645066215
SC-00112,CLI-0067,"32.982622, -3.887289",Villa,"8, Avenue Anfa",Meknès,ZI Sidi Bernoussi,Filiale,Critique,Moyenne,Salma Tazi - +212 695154364
SC-00113,CLI-0067,"27.870697, -5.249993",Villa,"203, Avenue Hassan II",Rabat,Casa Nearshore,Succursale,Prioritaire,Difficile,Mehdi Tazi - +212 679044025
SC-00114,CLI-0068,"32.684759, -8.701404",Bureau,"185, Avenue Hassan II",Rabat,Technopark,Agence,Prioritaire,Facile,Karim Tazi - +212 691619041
SC-00115,CLI-0068,"33.585553, -7.384",Villa,"106, Avenue Al Qods",Casablanca,Technopark,Succursale,Standard,Moyenne,Salma Amrani - +212 695422318
SC-00116,CLI-0068,"35.660535, -6.049239",Entrepôt,"10, Avenue Mohammed VI",Rabat,ZI Ain Sebaa,Filiale,Prioritaire,Moyenne,Hind Berrada - +212 605626712
SC-00117,CLI-0069,"35.393007, -8.698231",Usine,"158, Avenue Mohammed VI",Fès,Agropole,Succursale,Standard,Difficile,Mehdi Berrada - +212 671503137
SC-00118,CLI-0070,"31.715215, -7.911649",Villa,"196, Avenue Anfa",Fès,Agropole,Site technique,Prioritaire,Accès réglementé,Salma Amrani - +212 638079224
SC-00119,CLI-0070,"31.288816, -7.965522",Centre commercial,"5, Avenue Hassan II",Fès,ZI Sidi Bernoussi,Agence,Prioritaire,Moyenne,Karim Amrani - +212 614094516
SC-00120,CLI-0071,"32.851282, -8.225265",Datacenter,"184, Avenue Mohammed VI",Rabat,Agropole,Agence,Prioritaire,Moyenne,Hind Amrani - +212 628799538
SC-00121,CLI-0071,"35.50538, -9.022941",Bureau,"173, Avenue Anfa",Tanger,Agropole,Site technique,Prioritaire,Difficile,Mehdi Berrada - +212 693631529
SC-00122,CLI-0072,"27.158819, -6.025612",Bureau,"218, Avenue Mohammed VI",Rabat,Agropole,Succursale,Standard,Difficile,Hind Amrani - +212 639356654
SC-00123,CLI-0072,"35.262454, -9.304092",Centre commercial,"112, Avenue Al Qods",Marrakech,Technopark,Agence,Standard,Moyenne,Karim Tazi - +212 632487519
SC-00124,CLI-0073,"35.476123, -12.238092",Villa,"193, Avenue Mohammed VI",Rabat,Tanger Free Zone,Agence,Prioritaire,Difficile,Karim Fassi - +212 631134255
SC-00125,CLI-0073,"34.603839, -5.76545",Villa,"10, Avenue Hassan II",Agadir,ZI Sidi Bernoussi,Succursale,Standard,Moyenne,Mehdi Berrada - +212 652580392
SC-00126,CLI-0073,"34.566722, -8.384125",Immeuble,"247, Avenue Hassan II",Kénitra,Technopark,Siège principal,Standard,Accès réglementé,Salma Fassi - +212 670742904
SC-00127,CLI-0074,"28.041201, -9.061262",Immeuble,"177, Avenue Anfa",Meknès,Centre-ville,Agence,Standard,Facile,Hind Berrada - +212 638573327
SC-00128,CLI-0074,"35.016692, -6.47669",Bureau,"145, Avenue Hassan II",Agadir,Atlantic Free Zone,Succursale,Standard,Facile,Mehdi Tazi - +212 672189109
SC-00129,CLI-0075,"35.513478, -1.432872",Usine,"43, Avenue Mohammed VI",Agadir,Agropole,Filiale,Prioritaire,Difficile,Salma Amrani - +212 619754507
SC-00130,CLI-0075,"30.752564, -10.385485",Datacenter,"40, Avenue Hassan II",Fès,ZI Sidi Bernoussi,Site technique,Critique,Difficile,Mehdi Berrada - +212 659160121
SC-00131,CLI-0076,"34.069546, -2.98354",Usine,"147, Avenue Mohammed VI",Tanger,Casa Nearshore,Site technique,Prioritaire,Accès réglementé,Mehdi Amrani - +212 689212455
SC-00132,CLI-0076,"31.663518, -6.722478",Usine,"209, Avenue Mohammed VI",Marrakech,Tanger Free Zone,Siège principal,Standard,Accès réglementé,Hind Amrani - +212 625394913
SC-00133,CLI-0077,"31.891203, -1.968558",Villa,"7, Avenue Al Qods",Rabat,Atlantic Free Zone,Siège principal,Critique,Facile,Salma Fassi - +212 678995371
SC-00134,CLI-0077,"33.073036, -8.905733",Centre commercial,"9, Avenue Al Qods",Agadir,Atlantic Free Zone,Succursale,Standard,Moyenne,Salma Fassi - +212 631424976
SC-00135,CLI-0078,"32.462418, -12.699478",Villa,"31, Avenue Anfa",Agadir,ZI Sidi Bernoussi,Filiale,Standard,Difficile,Mehdi Amrani - +212 600920309
SC-00136,CLI-0079,"29.820326, -7.77446",Centre commercial,"205, Avenue Mohammed VI",Meknès,Atlantic Free Zone,Site technique,Prioritaire,Facile,Karim Fassi - +212 652131913
SC-00137,CLI-0079,"31.859704, -6.284814",Immeuble,"53, Avenue Hassan II",Marrakech,Casa Nearshore,Succursale,Standard,Difficile,Mehdi Fassi - +212 601696089
SC-00138,CLI-0080,"35.041558, -11.789467",Immeuble,"118, Avenue Mohammed VI",Tanger,Technopark,Siège principal,Standard,Difficile,Hind Amrani - +212 681373524
SC-00139,CLI-0080,"34.523697, -6.427559",Villa,"245, Avenue Hassan II",Fès,Casa Nearshore,Succursale,Critique,Accès réglementé,Karim Fassi - +212 696659057
